date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2014-03-07,95486880.88,11484,433783000,15.85,6222120,33100,25.80443416
2014-03-08,57651408.37,10512,417867000,15.41,5923750,32800,23.38758894
2014-03-09,68013458.32,10039,406495000,16,6666580,34600,20.39532883
2014-03-10,72881472.26,9806,422208000,16.01,5340680,34450,30.05480041
2014-03-11,48380405.44,9411,423295000,16.14,3714800,27100,16.7184432
2014-03-12,39341931.52,9134,426302000,17.18,12417500,27600,19.36773399
2014-03-13,70058788.13,12063,454839000,17.02,4116820,32050,22.54599346
2014-03-14,21292712.72,10433,451061000,16.59,4006980,30000,18.09383495
2014-03-15,28725311.07,10314,441064000,16.9,3080560,32450,21.30526859
2014-03-16,47659754.36,11181,449390000,17.35,5627180,31600,16.39780792
2014-03-17,73834772.69,10995,461913000,17.31,6764140,30750,12.29555107
2014-03-18,155586509.7,11649,461066000,19.42,28101700,29000,14.70216967
2014-03-19,127020784.6,18339,519293000,17.24,35045000,33600,27.06054503
2014-03-20,374924716.1,20871,458814000,16.47,15946500,34550,35.89742971
2014-03-21,278996002.3,12104,438842000,15.7,18958100,28250,15.89352237
2014-03-22,192902414.5,12159,418879000,15.71,6305450,27550,15.97091343
2014-03-23,88382692.03,9542,421272000,15.36,2493740,31400,10.75959253
2014-03-24,70848351.27,9102,410593000,16.19,8181220,27400,17.7447257
2014-03-25,94187351.23,10423,435960000,16.3,6448800,25400,12.62171138
2014-03-26,64005710.49,9595,438103000,16.27,7946950,27050,11.53898973
2014-03-27,64574664.58,11401,438305000,12.48,25956800,28350,12.9541051
2014-03-28,406140163.4,10909,341235000,13.74,20549800,30250,20.45014516
2014-03-29,95728922,10766,375303000,13.45,3442020,31400,12.93098908
2014-03-30,30065659.51,8420,363232000,13.14,10933600,28150,11.97962382
2014-03-31,53703109.31,8639,355481000,12.75,7248790,28050,11.55763401
2014-04-01,67969287.21,10340,345810000,13.13,7346120,28350,15.10103902
2014-04-02,40845625.26,9404,354825000,11.29,14966900,29650,15.15968211
2014-04-03,75998609.21,10726,305579000,11.05,10985500,31500,15.36475458
2014-04-04,140525963.1,10623,300564000,11.02,5857970,31600,12.60587867
2014-04-05,155975031.7,8601,299206000,11.2,3023900,31250,12.92517495
2014-04-06,71249985.39,7873,304340000,11.64,5093420,29400,8.12702529
2014-04-07,49638647.49,7491,317608000,11.26,3903230,25350,8.53031625
2014-04-08,51308876.01,9041,305773000,11.36,3435810,27300,17.18852715
2014-04-09,44958166.33,7605,310700000,11.19,2084940,27400,9.39709191
2014-04-10,32288117.06,7859,305788000,8.46,15032300,30200,17.54211861
2014-04-11,70941243.04,9045,230520000,10.95,18745900,29100,12.12533856
2014-04-12,91448377.84,10015,298698000,10.66,7740060,28600,12.73192073
2014-04-13,33233174.73,7982,292420000,10.31,6250360,29600,10.98768234
2014-04-14,18756669.53,8286,285072000,11.52,11481300,26650,8.62109224
2014-04-15,42483058.03,9418,314953000,13.25,15088900,28050,11.98118334
2014-04-16,33144185.02,10405,365869000,13.37,17352400,29600,13.2553282
2014-04-17,58571956.75,10874,369542000,12.52,10919300,27400,14.59658699
2014-04-18,45085772.59,8504,343401000,12.06,8631860,28100,11.21982793
2014-04-19,46020793.2,8241,332274000,12.82,6728010,25000,11.33221034
2014-04-20,20461019.11,7723,354908000,12.62,6195390,24350,10.17708708
2014-04-21,29731131.36,8155,347125000,12.5,3872040,27700,12.11227687
2014-04-22,19961972.28,7839,345711000,12.07,2969980,27100,11.57869995
2014-04-23,23939538.63,7499,333391000,12.13,2381190,29450,12.19475926
2014-04-24,33314586.91,7376,336492000,12.55,4714780,30300,8.90106764
2014-04-25,24771197.08,6955,347939000,10.79,13003700,32800,8.09813704
2014-04-26,101711186.2,8434,300329000,10.57,3156250,30600,11.39920069
2014-04-27,100820011.1,6662,293837000,9.92,3349260,35800,16.72042479
2014-04-28,62990831.62,7085,272731000,10.13,3537560,32000,7.02188736
2014-04-29,51314430.21,7260,282301000,10.4,3346380,32100,10.93678356
2014-04-30,43242575.61,5839,290501000,10.9,7592450,37250,5.89700223
2014-05-01,62396667.58,7492,305458000,11.1,4444330,30150,11.49302245
2014-05-02,42799799.18,5745,311470000,10.5,3393190,26950,5.98689982
2014-05-03,21631531.94,5492,294608000,10.31,2928390,31250,5.68350482
2014-05-04,51727588.86,5569,288866000,10.32,1260130,30750,7.80882862
2014-05-05,66443652.71,5375,289454000,10.18,1638510,28750,9.99286597
2014-05-06,54375138.77,5507,286760000,10.33,4018180,28200,6.80251868
2014-05-07,45309115.33,6135,290864000,10.51,3668840,26750,7.07925264
2014-05-08,32167317.29,5912,295869000,10.45,2346290,26650,9.41316894
2014-05-09,37933292.89,7655,293706000,10.75,2586370,26450,11.55478382
2014-05-10,39612490.88,6337,303572000,10.73,1993440,28000,11.31848393
2014-05-11,44802748.65,5259,302622000,10.36,2521270,29950,7.27026729
2014-05-12,100405150.4,7765,292232000,10.41,1422620,29650,8.54734262
2014-05-13,41215667.17,7031,294842000,10.42,1754030,30700,9.95371535
2014-05-14,57229106.83,6110,294786000,10.43,1343860,31900,6.65753165
