close,high,low,open,vol,utc
14336.25,14598.68,14252.06,14528.49,6157.42,12/23/17 0:00
13839.46,14383.65,13705.83,14336.25,7702.6,12/23/17 1:00
13906.82,13910.74,13419.88,13839.45,7893.22,12/23/17 2:00
14109.41,14306.69,13874.64,13916.31,5950.38,12/23/17 3:00
14228.36,14451.51,14088.19,14109.41,4843.12,12/23/17 4:00
14431.11,14433.25,14035.83,14230.24,4641.84,12/23/17 5:00
14662.83,14713.15,14206.64,14431.11,5765.77,12/23/17 6:00
15066.28,15070.45,14653.15,14662.83,8260.48,12/23/17 7:00
14862.92,15069.79,14636.34,15066.28,8667.89,12/23/17 8:00
14931.73,14981.85,14762.19,14862.92,6967.55,12/23/17 9:00
15362.83,15384.92,14931.73,14931.73,9169.13,12/23/17 10:00
14786.65,15493.23,14585.78,15362.83,13074.56,12/23/17 11:00
15164.66,15167.02,14715.3,14786.65,7536.56,12/23/17 12:00
14960.77,15174.27,14719.61,15164.66,7690.37,12/23/17 13:00
14805.31,15087.29,14766.25,14953.33,4429.75,12/23/17 14:00
14886.77,14916.75,14783.4,14807.16,3804.39,12/23/17 15:00
15131.93,15211.78,14837.62,14866.7,5592.56,12/23/17 16:00
15244.24,15342.85,15129.06,15131.93,4876.88,12/23/17 17:00
14832.18,15333.13,14790.1,15244.24,6526.23,12/23/17 18:00
14396.46,14998.4,14149.89,14832.18,11562.15,12/23/17 19:00
14260.49,14413.72,13945.9,14396.63,10908.13,12/23/17 20:00
13857.82,14378.9,13786.77,14255.32,8438.5,12/23/17 21:00
13236.76,13863.84,13222.87,13856.21,12455.33,12/23/17 22:00
13841.77,14041.86,13218.36,13232.68,9407.06,12/23/17 23:00
13599.13,13952.9,13304.56,13837.95,6467.61,12/24/17 0:00
13885.53,13885.89,13591.07,13600.24,4274,12/24/17 1:00
14103.88,14146.43,13789.67,13878.93,3992.69,12/24/17 2:00
13777.94,14236.07,13767.42,14103.88,4331.19,12/24/17 3:00
13976.06,13981.45,13602.62,13777.22,3805.92,12/24/17 4:00
13357.59,14037.18,13261.24,13976.06,6412.35,12/24/17 5:00
13138.69,13366.98,12946.15,13357.58,11810.61,12/24/17 6:00
12782.86,13147.28,12393.97,13138.24,14791.37,12/24/17 7:00
12574.34,12828.76,12166.45,12795.89,13691.88,12/24/17 8:00
13158.78,13158.79,12574.34,12574.34,9946.33,12/24/17 9:00
13464.75,13559,13053.27,13153.52,8828.42,12/24/17 10:00
13004.88,13526.97,12805.12,13461.1,8396.45,12/24/17 11:00
13131.34,13366.32,12996.27,13004.46,5794.77,12/24/17 12:00
12872.01,13253.13,12870.75,13129.24,4002.35,12/24/17 13:00
12741.3,12933.69,12622.55,12872.85,6534.17,12/24/17 14:00
12615.06,12796.9,12428.77,12741.11,6550.42,12/24/17 15:00
13182.07,13284.62,12573.45,12612.53,7171.03,12/24/17 16:00
12989.09,13196.76,12916.04,13182.07,3466.62,12/24/17 17:00
13454.46,13466.18,12877.11,12987.7,4366.11,12/24/17 18:00
13789.95,13840.62,13421.32,13461.24,6574.05,12/24/17 19:00
13702.74,13895.92,13619.61,13789.95,5705.76,12/24/17 20:00
13659.98,13711.8,13401.2,13702.87,4042.32,12/24/17 21:00
13258.68,13668.99,13177,13659.56,5120.66,12/24/17 22:00
13208.52,13528.5,13180.52,13251.49,3427.29,12/24/17 23:00
13749.78,13850.22,13010.71,13208.23,7539.23,12/25/17 0:00
13671.38,13750.42,13570,13749.77,2871.8,12/25/17 1:00
13714.7,13960.77,13556.2,13676.18,5344.66,12/25/17 2:00
13823.6,13902.3,13639.57,13714.7,3553.34,12/25/17 3:00
14089.68,14109.68,13674.03,13822.53,5439.37,12/25/17 4:00
13809.43,14183.63,13795.31,14089.51,4187.52,12/25/17 5:00
13894.53,14021.35,13801.09,13809.43,2514.54,12/25/17 6:00
14044.58,14157.74,13866.73,13892.56,2787.65,12/25/17 7:00
14388.4,14467.43,14036.29,14045.73,5673.96,12/25/17 8:00
13707.33,14404.63,13677.99,14388.4,7050.79,12/25/17 9:00
13444.44,13778.24,13360.63,13707.33,9149.16,12/25/17 10:00
